일자,대표내재변동성,콜내재변동성,풋내재변동성,선물대표내재변동성,선물콜내재변동성,선물풋내재변동성,역사적변동성1,역사적변동성2,역사적변동성3,선물역사적변동성1,선물역사적변동성2,선물역사적변동성3,시작일자
20260615,108.74,76.76,116.17,108.99,75.02,116.87,67.81,60.55,60.52,69.56,60.80,60.61,
20260612,102.15,79.61,114.18,102.11,78.14,114.90,66.72,59.92,60.11,68.23,60.07,60.10,
20260611,91.22,69.01,114.97,91.32,69.46,114.91,65.92,59.40,59.77,66.81,59.21,59.55,
20260610,115.67,78.54,150.29,115.67,77.60,151.15,65.99,59.60,59.77,66.86,59.39,59.53,
20260609,131.91,75.79,168.94,131.93,75.93,168.88,63.59,58.46,59.06,64.97,58.60,58.97,
20260608,119.95,93.29,131.47,119.95,93.29,131.47,59.55,56.23,57.74,60.69,56.25,57.55,
20260605,101.62,65.08,109.94,102.14,63.91,110.83,52.74,53.81,55.80,52.80,53.40,55.26,
20260604,102.12,56.55,116.70,102.20,55.83,117.05,48.34,54.09,54.78,48.37,53.88,54.23,
20260602,103.57,63.13,111.08,103.69,61.83,111.46,47.74,53.83,54.82,47.80,53.56,54.24,
20260601,107.89,66.43,114.90,108.09,63.37,115.65,47.75,56.45,54.92,47.51,55.03,54.29,
20260529,91.53,57.27,102.14,91.61,55.78,102.69,47.13,62.41,54.68,46.54,60.44,53.92,
20260528,96.67,61.30,103.64,96.71,61.01,103.75,46.82,64.62,54.55,46.17,62.90,53.73,
20260527,101.12,67.67,109.14,101.18,66.96,109.38,46.97,64.68,54.52,46.44,62.93,53.68,
20260526,100.91,57.17,106.98,101.05,56.52,107.23,46.71,64.94,54.43,46.28,63.22,53.61,
20260522,92.78,57.01,100.85,92.87,56.51,101.07,47.35,64.84,54.34,46.83,63.10,53.48,
20260521,100.40,57.56,112.31,100.41,57.53,112.32,50.32,64.95,54.40,49.66,63.18,53.52,
20260520,92.78,61.21,102.81,92.84,60.95,102.97,45.76,62.93,53.04,44.78,61.00,52.07,
20260519,113.32,62.41,126.14,113.43,61.94,126.40,45.51,62.99,53.08,44.37,61.04,52.10,
20260518,117.33,61.97,127.43,117.36,61.85,127.49,43.79,62.70,52.74,42.93,60.84,51.80,
20260515,133.46,72.11,138.90,133.51,71.80,138.99,47.28,62.72,52.94,45.47,60.85,51.96,
20260514,83.49,31.01,123.72,83.61,29.69,124.24,46.29,61.18,51.88,44.32,59.67,51.12,
20260513,96.21,47.58,128.12,96.21,47.03,128.45,49.69,61.14,51.85,47.38,59.62,51.10,
20260512,119.03,66.03,136.23,119.39,64.51,137.19,51.14,60.98,51.79,48.80,59.48,51.03,
20260511,107.66,56.19,137.38,107.62,55.92,137.47,50.31,61.08,51.58,47.96,59.66,50.82,
20260508,85.88,45.58,98.25,85.96,44.94,98.54,50.96,60.57,51.16,48.74,59.16,50.39,
20260507,102.22,49.32,112.07,102.46,48.43,112.30,50.89,61.39,51.17,48.54,59.86,50.37,
20260506,99.43,55.17,112.13,99.43,55.06,112.15,51.09,61.36,51.18,48.76,59.80,50.33,
20260504,72.67,41.77,85.75,72.67,41.41,85.89,52.63,61.29,50.12,50.26,59.71,49.22,
20260430,71.94,44.65,78.93,72.28,43.49,79.66,50.59,61.73,49.50,48.60,60.70,48.72,
20260429,68.64,44.95,76.29,68.71,44.56,76.51,51.26,61.61,49.46,49.58,60.66,48.75,
20260428,74.96,46.40,80.78,75.08,45.87,81.02,53.25,61.62,49.47,51.51,60.66,48.77,
20260427,73.62,44.91,82.21,73.65,44.56,82.35,53.34,61.68,49.59,51.74,60.76,48.86,
20260424,67.27,46.38,72.29,67.39,45.83,72.57,53.19,61.84,49.51,51.65,60.93,48.78,
20260423,68.99,47.91,74.41,69.13,47.07,74.79,53.54,61.89,49.60,51.98,60.99,48.84,
